央视频道,#genre#
宁夏卫视,http://119.125.134.181:9901/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://119.125.104.126:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://119.125.104.17:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://119.125.134.181:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://119.125.134.251:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://119.125.104.17:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://119.125.104.126:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://119.125.134.181:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://119.125.134.251:9901/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://119.125.134.251:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://119.125.134.181:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://119.125.134.251:9901/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://119.125.134.181:9901/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://119.125.134.251:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://119.125.134.251:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://119.125.134.181:9901/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视搞清,http://119.125.104.126:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视搞清,http://119.125.104.17:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://119.125.104.17:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://119.125.104.126:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://119.125.134.181:9901/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://119.125.134.181:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://119.125.104.126:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
